ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
256,PROPILENGLICOL,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,2.18,2.25,.,.,.,.,.,5150,5150,4200,4200,5000,5000,4800,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,FORMIATO SODICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,33.4,0,0,0,0,0,0,0,0,0,0,0,.,0.37,0.37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,FORMIATO AMONICO,,,,.,.,135.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,DIFORMATO POTASICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,29.5,0,0,0,0,0,0,0,0,.,0.39,0.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,FORMIATO CALCICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,30.7,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,0.39,0.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,PROPIONATO SODICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,.,1.43,1.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,PROPIONATO AMONICO,,,,.,.,96.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.51,1.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,PROPIONATO CALCICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,21.2,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.48,1.71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,BUTIRATO SODICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,.,1.9,2.16,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,BUTIRATO CALCICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,18.7,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.95,2.21,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,CLORURO COLINA 75,,,75.0,25,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,18.8,0,0,0,0,0,0,0,0,0,650000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,CLORURO COLINA 60,,,98.0,2,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,15,0,0,0,0,0,0,0,0,0,520000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,CLORURO COLINA 50 VEG,,,97.5,2.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,12.5,0,0,0,0,0,0,0,0,0,430000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,CLORURO COLINA 50 MIN,,,88.0,12,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,12.5,0,0,0,0,0,0,0,0,0,430000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,BETAINA ANHIDRA 97,,,98.5,1.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,BETAINA ANHIDRA 93,,,98.5,1.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,BETAINA HIDROCLORURO,,,98.0,2,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,21.5,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,SULFATO DE COBRE pentahidrato,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,12.6,251000,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,OXIDO DE COBRE (II),,,99.8,0.2,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,770000,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,TRIHIDROXICLORURO DICOBRE (TBCC),,,98.0,2,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,15,0,0,0,540000,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,HIDROXICLORURO DE ZINC monohidrato,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,10.8,0,0,0,0,0,0,550000,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,SULFATO DE ZINC monohidratado,,,99.0,1,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,17.5,0,0,0,357000,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,SULFATO DE ZINC,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,11,0,0,0,223000,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,OXIDO DE ZINC 72,,,99.5,0.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1.5,0,0,0,720000,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,OXIDO DE ZINC 75,,,99.5,0.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1.5,0,0,0,750000,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,SULFATO FERROSO MONO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.9,0,17,0,300000,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,SULFATO FERROSO HEPTA,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.7,0,11.3,0,197000,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,CARBONATO FERROSO,,,99.5,0.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,1.5,0.0,0,0,0,0,0.0,0,1.1,0,0,0,400000,0.8,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,SULFATO MANGANESO MONO,,,99.5,0.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,18.5,0,0,318000,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,OXIDO MANGANOSO,,,99.5,0.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,2.0,0.0,0,0,0,0,0.0,0,0,0,0,0,7,625000,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,TRIHIDROXICLORURO DIMANGANESO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,14.7,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,IODURO POTASICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,IODATO CALCICO ANHIDRO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,10.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,COBALTO ACETATO TETRAHIDR.,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,COBALTO CARBONATO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,COBALTO CARBONATO granulado recubierto,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,SELENITO SODICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,MOLIBDATO DE SODIO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
